[2024-10-26T03:26:24.680+0530][0.071s][debug][gc,nmethod  ] Register NMethod: java.lang.System.arraycopy (0x0000029cc9b60588) [0x0000029cc9b606a0, 0x0000029cc9b608e0] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[2024-10-26T03:26:24.680+0530][0.071s][debug][gc,nmethod  ] Register NMethod: java.util.Objects.requireNonNull (0x0000029cc1fd6108) [0x0000029cc1fd6240, 0x0000029cc1fd6428] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.680+0530][0.071s][debug][gc,nmethod  ] Register NMethod: java.lang.String.coder (0x0000029cc1fd6488) [0x0000029cc1fd65a0, 0x0000029cc1fd66d8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.681+0530][0.072s][debug][gc,nmethod  ] Register NMethod: java.lang.String.charAt (0x0000029cc1fd6788) [0x0000029cc1fd6900, 0x0000029cc1fd6e90] Compiler: c1, Barriers: 2, Oops: 1, ImmediateOops: 2, NonImmediateOops: No
[2024-10-26T03:26:24.681+0530][0.072s][debug][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.charAt (0x0000029cc1fd6f08) [0x0000029cc1fd7020, 0x0000029cc1fd71e8] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[2024-10-26T03:26:24.681+0530][0.072s][debug][gc,nmethod  ] Register NMethod: java.lang.String.checkIndex (0x0000029cc1fd7288) [0x0000029cc1fd73a0, 0x0000029cc1fd74d8] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[2024-10-26T03:26:24.681+0530][0.072s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.Preconditions.checkIndex (0x0000029cc1fd7588) [0x0000029cc1fd76a0, 0x0000029cc1fd7828] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.681+0530][0.072s][debug][gc,nmethod  ] Register NMethod: java.lang.String.length (0x0000029cc1fd7888) [0x0000029cc1fd79a0, 0x0000029cc1fd7b70] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.681+0530][0.072s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$AbstractImmutableSet.<init> (0x0000029cc1fd7b88) [0x0000029cc1fd7cc0, 0x0000029cc1fd7ee8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.681+0530][0.072s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor.name (0x0000029cc9b60908) [0x0000029cc9b60a20, 0x0000029cc9b60b18] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.681+0530][0.072s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleReference.descriptor (0x0000029cc9b60c08) [0x0000029cc9b60d20, 0x0000029cc9b60e18] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.681+0530][0.072s][debug][gc,nmethod  ] Register NMethod: java.util.Set.of (0x0000029cc1fd7f88) [0x0000029cc1fd8160, 0x0000029cc1fd8a20] Compiler: c1, Barriers: 9, Oops: 0, ImmediateOops: 2, NonImmediateOops: No
[2024-10-26T03:26:24.682+0530][0.073s][debug][gc,nmethod  ] Register NMethod: java.lang.String.isEmpty (0x0000029cc1fd8a88) [0x0000029cc1fd8ba0, 0x0000029cc1fd8d30] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[2024-10-26T03:26:24.682+0530][0.073s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.compareAndSetLong (0x0000029cc9b60f08) [0x0000029cc9b61020, 0x0000029cc9b61260] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
